Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
35827	1465.23	-40.7	0.134041916
35943	1467.41	-40	0.131736527
36061	1469.59	-39.9	0.131407186
36171	1471.77	-39.7	0.130748503
36274	1473.95	-39.8	0.131077844
36376	1476.11	-40.1	0.132065868
36481	1478.27	-40	0.131736527
36591	1480.41	-39.6	0.130419162
36709	1482.54	-40.5	0.133383234
36822	1484.66	-40.9	0.134700599
36927	1486.78	-40.1	0.132065868
37035	1488.9	-40	0.131736527
37143	1491.01	-39.1	0.128772455
37247	1493.11	-40	0.131736527
37359	1495.21	-40.3	0.132724551
37469	1497.31	-40.5	0.133383234
37574	1499.4	-40.5	0.133383234
37684	1501.48	-40.8	0.134371257
37804	1503.56	-40.6	0.133712575
37930	1505.63	-41.2	0.135688623
38062	1507.7	-41.3	0.136017964
38201	1509.76	-41.6	0.137005988
38320	1511.8	-41	0.13502994
38432	1513.84	-40	0.131736527
38565	1515.88	-40.3	0.132724551
38711	1517.91	-40.2	0.13239521
38871	1519.94	-40	0.131736527
39026	1521.97	-39.7	0.130748503
39183	1523.98	-39.9	0.131407186
39347	1525.98	-39.9	0.131407186
39513	1527.98	-39.6	0.130419162
39678	1530	-40.4	0.133053892
39852	1532	-40	0.131736527
40006	1533.97	-40.2	0.13239521
40134	1535.94	-39.9	0.131407186
40250	1537.9	-40	0.131736527
40371	1539.86	-39.9	0.131407186
40468	1541.82	-40.1	0.132065868
40562	1543.76	-39.6	0.130419162
40649	1545.7	-39.4	0.129760479
40737	1547.64	-40.5	0.133383234
40823	1549.58	-40.8	0.134371257
40916	1551.51	-40.2	0.13239521
41009	1553.43	-40	0.131736527
41091	1555.35	-39.3	0.129431138
41172	1557.26	-39.6	0.130419162
41274	1559.16	-39.7	0.130748503
41381	1561.06	-40	0.131736527
41497	1562.96	-40.3	0.132724551
41596	1564.84	-40	0.131736527
41695	1566.72	-40.6	0.133712575
41802	1568.58	-40.6	0.133712575
41908	1570.44	-40.6	0.133712575
42014	1572.3	-40.6	0.133712575
42115	1574.16	-40.8	0.134371257
42208	1576.02	-40.7	0.134041916
42309	1577.87	-40.5	0.133383234
42393	1579.71	-39.6	0.130419162
42486	1581.55	-40.2	0.13239521
42581	1583.38	-39.8	0.131077844
42713	1585.21	-40	0.131736527
42839	1587.03	-39.7	0.130748503
42967	1588.91	-39.9	0.131407186
43085	1590.85	-39.7	0.130748503
43203	1592.72	-39.9	0.131407186
43305	1594.52	-39.5	0.13008982
43413	1596.32	-39.8	0.131077844
43532	1598.11	-40.6	0.133712575
43649	1599.89	-40.4	0.133053892
43770	1601.67	-40.3	0.132724551
43887	1603.44	-40.2	0.13239521
44003	1605.2	-40.5	0.133383234
44111	1606.96	-39.3	0.129431138
44210	1608.72	-40	0.131736527
44299	1610.47	-39.9	0.131407186
44393	1612.21	-39.9	0.131407186
44492	1613.95	-39.7	0.130748503
44583	1615.69	-40	0.131736527
44676	1617.42	-40.3	0.132724551
44761	1619.14	-40	0.131736527
44850	1620.86	-40.7	0.134041916
44941	1622.58	-40.8	0.134371257
45028	1624.3	-40.7	0.134041916
45107	1626.02	-40.5	0.133383234
45197	1627.73	-40.9	0.134700599
45283	1629.43	-40.9	0.134700599
45360	1631.11	-40.8	0.134371257
45462	1632.79	-40.6	0.133712575
45585	1634.47	-40.7	0.134041916
45721	1636.14	-40.5	0.133383234
45859	1637.81	-40.9	0.134700599
46024	1639.49	-40.3	0.132724551
46194	1641.15	-39.9	0.131407186
46363	1642.79	-40	0.131736527
46531	1644.43	-39.9	0.131407186
46664	1646.07	-39.3	0.129431138
46788	1647.71	-38.7	0.12745509
46911	1649.34	-39.5	0.13008982
47026	1650.98	-39.9	0.131407186
47146	1652.61	-39.6	0.130419162
47245	1654.23	-40.1	0.132065868
47391	1655.85	-40.2	0.13239521
47529	1657.45	-40.4	0.133053892
47649	1659.05	-39.9	0.131407186
47767	1660.65	-39.7	0.130748503
47892	1662.25	-40	0.131736527
48021	1663.83	-40.1	0.132065868
48151	1665.41	-40.8	0.134371257
48279	1666.99	-40.8	0.134371257
48400	1668.57	-40.7	0.134041916
48532	1670.14	-40.3	0.132724551
48671	1671.7	-40.4	0.133053892
48795	1673.26	-40.5	0.133383234
48926	1674.82	-40.3	0.132724551
49057	1676.38	-39.6	0.130419162
49190	1677.93	-40	0.131736527
49320	1679.47	-40	0.131736527
49432	1680.78	-40	0.131736527
49541	1682.08	-40.1	0.132065868
49652	1683.61	-40.1	0.132065868
49768	1685.13	-40.2	0.13239521
49884	1686.65	-40.3	0.132724551
50002	1688.15	-40	0.131736527
50307.5	1689.66	-40.2	0.13239521
50470	1691.17	-39.5	0.13008982
50632.6	1692.67	-39.4	0.129760479
50795.1	1694.17	-39.3	0.129431138
50957.7	1695.67	-39.6	0.130419162
51120.2	1697.16	-39.3	0.129431138
51282.8	1698.64	-39.1	0.128772455
51445.3	1700.12	-38.9	0.128113772
51607.9	1701.48	-39.1	0.128772455
51770.4	1702.83	-38.7	0.12745509
51933	1704.42	-38.7	0.12745509
52134.7	1706	-38.3	0.126137725
52336.4	1707.46	-38.2	0.125808383
52538.1	1708.91	-38.4	0.126467066
52739.8	1710.36	-38.9	0.128113772
52941.5	1711.8	-38.9	0.128113772
53219.3	1713.24	-38.8	0.127784431
