This data file has 3 columns:,,
column 1:,Depth in m below the surface,
column 2:,"Ice age following the WD2014 chronology, in years before 1950 C.E.",
column 3:,"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year",
,,
Depth,Ice age,Accumulation
(m),(years bp),(m ice a-1)
1664.513,8715,0.2184
1665.706,8725,0.2203
1666.92,8735,0.2178
1668.047,8745,0.213
1669.196,8755,0.2117
1670.334,8765,0.211
1671.483,8775,0.2141
1672.577,8785,0.218
1673.726,8795,0.2179
1674.984,8805,0.2175
1676.111,8815,0.2125
1677.216,8825,0.2086
1678.179,8835,0.2026
1679.404,8845,0.2045
1680.421,8855,0.2108
1681.483,8865,0.2208
1682.719,8875,0.2147
1683.955,8885,0.2112
1684.885,8895,0.1966
1685.925,8905,0.2009
1686.953,8915,0.209
1688.157,8925,0.2125
1689.229,8935,0.2105
1690.399,8945,0.2053
1691.396,8955,0.2057
1692.5,8965,0.2122
1693.583,8975,0.2168
1694.776,8985,0.2089
1695.915,8995,0.2021
1696.877,9005,0.1969
1697.927,9015,0.1967
1698.977,9025,0.2012
1700.028,9035,0.2018
1701.056,9045,0.1994
1702.073,9055,0.2054
1703.124,9065,0.2046
1704.294,9075,0.2104
1705.323,9085,0.2109
1706.395,9095,0.2047
1707.533,9105,0.2015
1708.518,9115,0.1977
1709.535,9125,0.1944
1710.531,9135,0.1983
1711.614,9145,0.1963
1712.632,9155,0.2013
1713.638,9165,0.1972
1714.732,9175,0.1943
1715.673,9185,0.1969
1716.701,9195,0.1967
1717.708,9205,0.2001
1718.791,9215,0.1975
1719.798,9225,0.1958
1720.772,9235,0.196
1721.789,9245,0.1967
1722.828,9255,0.2036
1723.835,9265,0.2019
1724.94,9275,0.2075
1725.968,9285,0.2012
1726.986,9295,0.2093
1728.058,9305,0.2125
1729.185,9315,0.2102
1730.235,9325,0.2161
1731.286,9335,0.2037
1732.434,9345,0.1968
1733.321,9355,0.1911
1734.305,9365,0.1903
1735.29,9375,0.1969
1736.289,9385,0.2028
1737.314,9395,0.2045
1738.354,9405,0.2079
1739.459,9415,0.2118
1740.553,9425,0.2129
1741.537,9435,0.2152
1742.664,9445,0.2119
1743.813,9455,0.2142
1744.852,9465,0.2137
1745.903,9475,0.213
1747.019,9485,0.2187
1748.124,9495,0.2197
1749.207,9505,0.2134
1750.312,9515,0.2064
1751.319,9525,0.2165
1752.402,9535,0.2153
1753.496,9545,0.2201
1754.677,9555,0.2122
1755.728,9565,0.2108
1756.756,9575,0.2106
1757.719,9585,0.2111
1758.912,9595,0.2103
1759.973,9605,0.2136
1760.979,9615,0.2127
1762.062,9625,0.207
1763.113,9635,0.2117
1764.129,9645,0.2096
1765.201,9655,0.2058
1766.239,9665,0.2107
1767.288,9675,0.2099
1768.368,9685,0.2139
1769.404,9695,0.2095
1770.496,9705,0.2028
1771.494,9715,0.2035
1772.387,9725,0.202
1773.488,9735,0.2112
1774.562,9745,0.2152
1775.663,9755,0.2199
1776.641,9765,0.2186
1777.832,9775,0.2266
1778.937,9785,0.2259
1780.078,9795,0.2087
1781.022,9805,0.1931
1781.908,9815,0.1922
1782.902,9825,0.1968
1783.896,9835,0.2077
1784.967,9845,0.2091
1786.03,9855,0.2091
1786.996,9865,0.2067
1788.011,9875,0.2
1789.048,9885,0.2027
1789.985,9895,0.2033
1791.042,9905,0.2094
1792.067,9915,0.2152
1793.109,9925,0.2176
1794.201,9935,0.2174
1795.303,9945,0.2188
1796.349,9955,0.2122
1797.354,9965,0.2095
1798.364,9975,0.2008
1799.36,9985,0.2032
1800.298,9995,0.1975
1801.27,10005,0.2019
1802.299,10015,0.202
1803.269,10025,0.2092
1804.291,10035,0.2054
1805.285,10045,0.2057
1806.259,10055,0.2142
1807.31,10065,0.2216
1808.42,10075,0.2239
1809.504,10085,0.2169
1810.53,10095,0.208
1811.522,10105,0.2025
1812.481,10115,0.1953
1813.459,10125,0.1975
1814.324,10135,0.1996
1815.378,10145,0.2036
1816.321,10155,0.2091
1817.312,10165,0.2077
1818.343,10175,0.2125
1819.371,10185,0.2155
1820.45,10195,0.2133
1821.488,10205,0.2128
1822.493,10215,0.2059
1823.431,10225,0.2005
1824.419,10235,0.2037
1825.383,10245,0.2104
1826.445,10255,0.2066
1827.424,10265,0.2064
1828.388,10275,0.1994
1829.367,10285,0.2082
1830.336,10295,0.2022
1831.399,10305,0.2012
1832.258,10315,0.2116
1833.275,10325,0.2059
1834.381,10335,0.2094
1835.277,10345,0.2137
1836.321,10355,0.209
1837.384,10365,0.2139
1838.343,10375,0.2091
1839.367,10385,0.2049
1840.327,10395,0.2087
1841.319,10405,0.2112
1842.339,10415,0.221
1843.388,10425,0.2199
1844.476,10435,0.2144
1845.505,10445,0.2092
1846.402,10455,0.2043
1847.354,10465,0.1998
1848.328,10475,0.2036
1849.308,10485,0.2013
1850.203,10495,0.209
1851.197,10505,0.2113
1852.257,10515,0.2186
1853.291,10525,0.2165
1854.303,10535,0.2135
1855.293,10545,0.2119
1856.28,10555,0.2086
1857.269,10565,0.2141
1858.244,10575,0.2194
1859.327,10585,0.2165
1860.354,10595,0.2172
1861.302,10605,0.2131
1862.334,10615,0.2095
1863.373,10625,0.2123
1864.268,10635,0.2139
1865.293,10645,0.2143
1866.328,10655,0.2158
1867.349,10665,0.2131
1868.31,10675,0.202
1869.235,10685,0.2022
1870.167,10695,0.1973
1871.111,10705,0.2029
1872.017,10715,0.2066
1873.008,10725,0.207
1873.981,10735,0.216
1874.977,10745,0.2152
